date,boardings,label_present,report_month,source_pdf
2026-07-01,103,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-02,41,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-03,35,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-04,40,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-05,44,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-06,64,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-07,84,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-08,75,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-09,56,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-10,49,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-11,48,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-12,14,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-13,38,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-14,23,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-15,60,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-16,60,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-17,38,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-18,40,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-19,18,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-20,25,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-21,41,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-22,45,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-23,51,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-24,39,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-25,23,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-26,,False,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-27,1,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-28,20,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-29,42,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-30,49,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-07-31,40,True,2026-07-01,ABI Ridership Report July 2026.pdf
2026-05-31,28,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-01,42,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-02,21,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-03,19,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-04,21,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-05,46,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-06,6,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-07,9,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-08,20,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-09,15,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-10,16,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-11,42,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-12,36,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-13,102,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-14,98,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-15,87,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-16,45,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-17,65,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-18,72,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-19,62,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-20,81,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-21,72,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-22,38,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-23,83,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-24,94,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-25,65,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-26,58,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-27,52,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-28,35,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-29,54,True,2026-06-01,ABI Ridership Report June 2026.pdf
2026-06-30,41,True,2026-06-01,ABI Ridership Report June 2026.pdf
