report_month,week_label,week_start,days_covered,boardings,source_pdf
2026-07-01,Wk 4 Jun 28,2026-06-28,4,219,ABI Ridership Report July 2026.pdf
2026-07-01,Wk 1 Jul 5,2026-07-05,7,420,ABI Ridership Report July 2026.pdf
2026-07-01,Wk 2 Jul 12,2026-07-12,7,273,ABI Ridership Report July 2026.pdf
2026-07-01,Wk 3 Jul 19,2026-07-19,7,242,ABI Ridership Report July 2026.pdf
2026-07-01,Wk 4 Jul 26,2026-07-26,6,152,ABI Ridership Report July 2026.pdf
2026-06-01,Wk 5 May 31,2026-05-31,7,183,ABI Ridership Report June 2026.pdf
2026-06-01,Wk 1 Jun 7,2026-06-07,7,240,ABI Ridership Report June 2026.pdf
2026-06-01,Wk 2 Jun 14,2026-06-14,7,510,ABI Ridership Report June 2026.pdf
2026-06-01,Wk 3 Jun 21,2026-06-21,7,462,ABI Ridership Report June 2026.pdf
2026-06-01,Wk 4 Jun 28,2026-06-28,3,130,ABI Ridership Report June 2026.pdf
